[0 0 0] 0 [-0.8465910570697329, 0.12094157958139042, 0.5183210553488161] => 10
[0 0 0] 0 [-0.8447020452913945, 0.1379105380067583, 0.5171645175253435] => 10
[0 0 0] 0 [-0.8425763762021135, 0.1547589262412045, 0.5158630874706817] => 10
[0 0 0] 0 [-0.8402195145890541, 0.17147337032429674, 0.5144201109728903] => 10
[0 0 0] 0 [-0.8376374334404133, 0.1880410564866234, 0.5128392449635184] => 10
[0 0 0] 0 [-0.8348365735275822, 0.20444977310879567, 0.5111244327719892] => 10
[0 0 0] 0 [-0.8318238008946788, 0.2206879471761393, 0.509279878098783] => 10
[0 0 0] 0 [-0.8286063627756974, 0.2367446750787707, 0.5073100180259372] => 10
[0 0 0] 0 [-0.8251918424570307, 0.2526097476909278, 0.5052194953818556] => 10
[0 0 0] 0 [-0.821588113591424, 0.26827366974413847, 0.5030131307702597] => 10
[0 0 0] 0 [-0.817803294449378, 0.2837276735844781, 0.5006958945608437] => 10
[0 0 0] 0 [-0.8138457025666518, 0.2989637274734639, 0.4982728791224399] => 10
[0 0 0] 0 [-0.8097238102129505, 0.3139745386540012, 0.49574927155894927] => 10
[0 0 0] 0 [-0.8054462010683614, 0.328753551456474, 0.49313032718471106] => 10
[0 0 0] 0 [-0.8010215284518215, 0.34329494076506634, 0.4904213439500948] => 10
[0 0 0] 0 [-0.7964584754011405, 0.35759360120051203, 0.48762763800069825] => 10
[0 0 0] 0 [-0.7917657168579888, 0.37164513240272945, 0.48475452052529927] => 10
[0 0 0] 0 [-0.7869518841649179, 0.38544582081547, 0.4818072760193375] => 10
[0 0 0] 0 [-0.7820255320358702, 0.3989926183856481, 0.4787911420627777] => 10
[0 0 0] 0 [-0.776995108117627, 0.4122831185930265, 0.4757112906842614] => 10
[0 0 0] 0 [-0.7718689252179554, 0.4253155302221387, 0.4725728113579319] => 10
[0 0 0] 0 [-0.7666551362374198, 0.4380886492785256, 0.4693806956555631] => 10
[0 0 0] 0 [-0.7613617118063739, 0.4506018294364254, 0.4661398235549228] => 10
[0 0 0] 0 [-0.7559964205968496, 0.4628549513858263, 0.4628549513858263] => 10
[0 0 0] 0 [-0.7505668122510781, 0.47484839142415153, 0.4595307013782111] => 10
[0 0 0] 0 [-0.7450802028443113, 0.4865829896126115, 0.4561715527618233] => 10
[0 0 0] 0 [-0.7395436627794031, 0.49806001779021025, 0.45278183435473657] => 10
[0 0 0] 0 [-0.7339640069941678, 0.5092811477102389, 0.44936571856785784] => 10
[0 0 0] 0 [-0.728347787349672, 0.5202484195354801, 0.44592721674469715] => 10
[0 0 0] 0 [-0.7227012870580922, 0.5309642108998228, 0.44247017574985237] => 10
[0 0 0] 0 [-0.7170305170023337, 0.5414312067160478, 0.4389982757157145] => 10
[0 0 0] 0 [-0.7113412137959382, 0.5516523698825643, 0.43551502885465604] => 10
[0 0 0] 0 [-0.7056388394306128, 0.561630913016202, 0.4320237792432323] => 10
[0 0 0] 0 [-0.6999285823596569, 0.5713702713140056, 0.4285277034855043] => 10
[0 0 0] 0 [-0.6942153598683608, 0.5808740766245468, 0.4250298121643026] => 10
[0 0 0] 0 [-0.688503821586769, 0.5901461327886591, 0.4215329519918994] => 10
[0 0 0] 0 [-0.6827983540057854, 0.5991903922907912, 0.4180398085749706] => 10
[0 0 0] 0 [-0.6771030858641595, 0.6080109342453677, 0.41455290971275066] => 10
[0 0 0] 0 [-0.6714218942812078, 0.6166119437276398, 0.41107462915175985] => 10
[0 0 0] 0 [-0.6657584115179639, 0.6249976924454356, 0.40760719072528406] => 10
[0 0 0] 0 [-0.6601160322576306, 0.633172520736911, 0.40415267281079426] => 10
[0 0 0] 0 [-0.6544979213045459, 0.6411408208697592, 0.4007130130435995] => 10
[0 0 0] 0 [-0.6489070216092531, 0.6489070216092531, 0.39729001323015495] => 10
[0 0 0] 0 [-0.6355525695988512, -0.66203392666547, 0.39722035599928196] => 10
[0 0 0] 0 [-0.6411408208697592, -0.6544979213045459, 0.4007130130435995] => 10
[0 0 0] 0 [-0.6467616667635546, -0.6467616667635546, 0.4042260417272216] => 10
[0 0 0] 0 [-0.6524124255621561, -0.6388205000296111, 0.4077577659763475] => 10
[0 0 0] 0 [-0.6580901965284982, -0.6306697716731441, 0.41130637283031135] => 10
[0 0 0] 0 [-0.6637918509160178, -0.6223048602337666, 0.4148699068225111] => 10
[0 0 0] 0 [-0.6695140231820048, -0.6137211879168377, 0.418446264488753] => 10
[0 0 0] 0 [-0.6752531024914306, -0.6049142376485732, 0.42203318905714404] => 10
[0 0 0] 0 [-0.6810052246069989, -0.5958795715311239, 0.42562826537937426] => 10
[0 0 0] 0 [-0.6867662642704725, -0.5866128507310286, 0.4292289151690453] => 10
[0 0 0] 0 [-0.6925318281897136, -0.5771098568247612, 0.4328323926185709] => 10
[0 0 0] 0 [-0.6982972487551755, -0.5673665146135801, 0.43643578047198467] => 10
[0 0 0] 0 [-0.7040575786186289, -0.5573789164064146, 0.44003598663664306] => 10
[0 0 0] 0 [-0.7098075862754798, -0.5471433477540156, 0.4436297414221748] => 10
[0 0 0] 0 [-0.7155417527999327, -0.5366563145999494, 0.4472135954999579] => 10
